"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 08 01:31:32 CST 2021","Mon Nov 08 01:31:33 CST 2021","1092","","Video One Million Page","","Video One Million Page","should play alex video","should play alex video",""
"passed","Mon Nov 08 02:06:13 CST 2021","Mon Nov 08 02:06:16 CST 2021","3046","","Explore Model Mild Hybrid Cars One Million Page","","Explore Model Mild Hybrid Cars One Million Page","should verify explore model mild hybrid cars link successfully opened","should verify explore model mild hybrid cars link successfully opened",""
"passed","Mon Nov 08 00:10:22 CST 2021","Mon Nov 08 00:10:23 CST 2021","1749","","Tab Title One Million Page","","Tab Title One Million Page","should verify correct tab name","should verify correct tab name",""
"passed","Mon Nov 08 02:01:11 CST 2021","Mon Nov 08 02:01:14 CST 2021","3311","","Explore Model Recharge One Million Page","","Explore Model Recharge One Million Page","should verify explore model recharge link successfully opened","should verify explore model recharge link successfully opened",""
"passed","Mon Nov 08 01:57:31 CST 2021","Mon Nov 08 01:57:34 CST 2021","3075","","Footer Legal One Million Page","","Footer Legal One Million Page","should verify footer legal link successfully opened","should verify footer legal link successfully opened",""
"passed","Mon Nov 08 01:49:46 CST 2021","Mon Nov 08 01:49:49 CST 2021","3066","","Footer Social Media One Million Page","","Footer Social Media One Million Page","should verify footer social media link successfully opened","should verify footer social media link successfully opened",""
"passed","Mon Nov 08 00:27:03 CST 2021","Mon Nov 08 00:27:05 CST 2021","1340","","Summer Video One Million Page","","Summer Video One Million Page","should play summer video","should play summer video",""
"passed","Mon Nov 08 00:27:07 CST 2021","Mon Nov 08 00:27:07 CST 2021","8","","Summer Video One Million Page","","Summer Video One Million Page","should play alex video","should play alex video",""
"passed","Sun Nov 07 22:11:30 CST 2021","Sun Nov 07 22:11:33 CST 2021","3397","","Menu One Million Page","","Menu One Million Page","should verify decades of innovation link successfully opened","should verify decades of innovation link successfully opened",""
"passed","Mon Nov 08 00:27:05 CST 2021","Mon Nov 08 00:27:05 CST 2021","21","","Summer Video One Million Page","","Summer Video One Million Page","should play amy video","should play amy video",""
"passed","Mon Nov 08 02:08:55 CST 2021","Mon Nov 08 02:08:58 CST 2021","3311","","Decades of Innovation One Million Page","","Decades of Innovation One Million Page","should verify decades of innovation link successfully opened","should verify decades of innovation link successfully opened",""
"passed","Mon Nov 08 02:18:20 CST 2021","Mon Nov 08 02:18:25 CST 2021","4769","","Car Safety Child Safety One Million Page","","Car Safety Child Safety One Million Page","should verify car safety Child Safety link successfully opened","should verify car safety Child Safety link successfully opened",""
"passed","Mon Nov 08 02:10:13 CST 2021","Mon Nov 08 02:10:16 CST 2021","3062","","Car Safety One Million Page","","Car Safety One Million Page","should verify car safety link successfully opened","should verify car safety link successfully opened",""
"passed","Mon Nov 08 02:12:45 CST 2021","Mon Nov 08 02:12:49 CST 2021","4202","","Car Safety One Million Page","","Car Safety One Million Page","should verify car safety driver assistance link successfully opened","should verify car safety driver assistance link successfully opened",""
"passed","Sun Nov 07 19:40:10 CST 2021","Sun Nov 07 19:40:11 CST 2021","1212","","One Million Page","","One Million Page","should verify correct tab name","should verify correct tab name",""
"passed","Mon Nov 08 01:56:23 CST 2021","Mon Nov 08 01:56:27 CST 2021","3611","","Footer Privacy One Million Page","","Footer Privacy One Million Page","should verify footer privacy link successfully opened","should verify footer privacy link successfully opened",""
"passed","Mon Nov 08 00:27:05 CST 2021","Mon Nov 08 00:27:07 CST 2021","2057","","Summer Video One Million Page","","Summer Video One Million Page","should play linda and molly video","should play linda and molly video",""
"passed","Sun Nov 07 16:25:26 CST 2021","Sun Nov 07 16:25:28 CST 2021","1769","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Mon Nov 08 01:31:31 CST 2021","Mon Nov 08 01:31:32 CST 2021","1030","","Video One Million Page","","Video One Million Page","should play linda and molly video","should play linda and molly video",""
"broken","Sun Nov 07 17:56:40 CST 2021","Sun Nov 07 17:56:40 CST 2021","39","","One Million Page","","One Million Page","""before all"" hook for One Million Page","""before all"" hook for One Million Page",""
"passed","Mon Nov 08 01:25:46 CST 2021","Mon Nov 08 01:25:51 CST 2021","4550","","Our Cars One Million Page","","Our Cars One Million Page","should verify our cars sub menu successfully opened","should verify our cars sub menu successfully opened",""
"passed","Mon Nov 08 01:59:00 CST 2021","Mon Nov 08 01:59:03 CST 2021","3003","","Footer Cookies One Million Page","","Footer Cookies One Million Page","should verify footer cookies link successfully opened","should verify footer cookies link successfully opened",""
"passed","Mon Nov 08 01:35:06 CST 2021","Mon Nov 08 01:35:11 CST 2021","4640","","Menu One Million Page","","Menu One Million Page","should verify menu successfully opened","should verify menu successfully opened",""
"passed","Mon Nov 08 02:04:57 CST 2021","Mon Nov 08 02:05:00 CST 2021","3721","","Explore Model Shop One Million Page","","Explore Model Shop One Million Page","should verify explore model shop link successfully opened","should verify explore model shop link successfully opened",""
"passed","Sun Nov 07 22:20:42 CST 2021","Sun Nov 07 22:20:45 CST 2021","3248","","Footer Privacy One Million Page","","Footer Privacy One Million Page","should verify privacy legal link successfully opened","should verify privacy legal link successfully opened",""
"passed","Mon Nov 08 01:31:30 CST 2021","Mon Nov 08 01:31:31 CST 2021","981","","Video One Million Page","","Video One Million Page","should play amy video","should play amy video",""
"passed","Mon Nov 08 01:38:57 CST 2021","Mon Nov 08 01:39:00 CST 2021","2891","","Intro Video One Million Page","","Intro Video One Million Page","should play intro video","should play intro video",""
"passed","Sun Nov 07 17:42:18 CST 2021","Sun Nov 07 17:42:18 CST 2021","7","","One Million Page","","One Million Page","should play intro video","should play intro video",""
"passed","Mon Nov 08 01:31:27 CST 2021","Mon Nov 08 01:31:30 CST 2021","2682","","Video One Million Page","","Video One Million Page","should play summer video","should play summer video",""
"passed","Mon Nov 08 01:53:36 CST 2021","Mon Nov 08 01:53:43 CST 2021","6467","","Volvo Logo One Million Page","","Volvo Logo One Million Page","should verify volvo logo link successfully opened","should verify volvo logo link successfully opened",""
"passed","Mon Nov 08 02:07:46 CST 2021","Mon Nov 08 02:07:50 CST 2021","3525","","Explore Model Learn One Million Page","","Explore Model Learn One Million Page","should verify explore model learn link successfully opened","should verify explore model learn link successfully opened",""
